machine,start,end,peak_risk,mean_risk,n_buckets,hit
Makine 5,2026-03-31 07:08:00+00:00,2026-03-31 07:47:00+00:00,0.221,0.162,40,False
Makine 2,2026-04-03 14:49:00+00:00,2026-04-03 14:55:00+00:00,0.221,0.152,7,False
Makine 3,2026-03-13 04:47:00+00:00,2026-03-13 05:15:00+00:00,0.221,0.18,29,False
Makine 9,2026-03-30 06:53:00+00:00,2026-03-30 06:59:00+00:00,0.22,0.199,7,False
Makine 9,2026-04-27 04:41:00+00:00,2026-04-27 05:12:00+00:00,0.22,0.193,14,True
Makine 9,2026-04-15 05:11:00+00:00,2026-04-15 05:43:00+00:00,0.22,0.193,33,True
Makine 5,2026-03-27 04:41:00+00:00,2026-03-27 04:53:00+00:00,0.219,0.205,13,True
Makine 3,2026-03-11 05:00:00+00:00,2026-03-11 05:12:00+00:00,0.219,0.199,13,False
Makine 2,2026-04-29 11:19:00+00:00,2026-04-29 11:25:00+00:00,0.219,0.183,7,True
Makine 3,2026-03-24 10:03:00+00:00,2026-03-24 10:27:00+00:00,0.219,0.18,25,True
Makine 3,2026-04-08 05:47:00+00:00,2026-04-08 06:15:00+00:00,0.219,0.186,29,False
Makine 5,2026-03-26 07:56:00+00:00,2026-03-26 08:07:00+00:00,0.218,0.192,12,False
Makine 2,2026-05-21 06:56:00+00:00,2026-05-21 07:08:00+00:00,0.218,0.176,13,False
Makine 9,2026-04-27 12:33:00+00:00,2026-04-27 12:46:00+00:00,0.218,0.184,13,False
Makine 2,2026-05-08 05:17:00+00:00,2026-05-08 05:29:00+00:00,0.218,0.206,13,False
Makine 2,2026-04-13 07:19:00+00:00,2026-04-13 07:33:00+00:00,0.218,0.179,15,False
Makine 1,2026-03-04 07:22:00+00:00,2026-03-04 07:41:00+00:00,0.217,0.179,20,False
Makine 2,2026-03-06 09:10:00+00:00,2026-03-06 09:33:00+00:00,0.217,0.171,24,False
Makine 3,2026-04-30 09:11:00+00:00,2026-04-30 09:21:00+00:00,0.217,0.202,11,True
Makine 2,2026-03-13 12:01:00+00:00,2026-03-13 13:15:00+00:00,0.217,0.17,75,False
Makine 3,2026-04-01 05:53:00+00:00,2026-04-01 06:09:00+00:00,0.216,0.196,17,False
Makine 1,2026-05-21 04:51:00+00:00,2026-05-21 04:55:00+00:00,0.216,0.205,5,False
Makine 1,2026-04-08 07:49:00+00:00,2026-04-08 07:59:00+00:00,0.216,0.208,11,False
Makine 2,2026-03-31 07:45:00+00:00,2026-03-31 08:00:00+00:00,0.216,0.177,16,False
Makine 9,2026-04-30 07:30:00+00:00,2026-04-30 07:39:00+00:00,0.215,0.21,10,False
Makine 2,2026-04-15 07:11:00+00:00,2026-04-15 07:21:00+00:00,0.215,0.191,11,False
Makine 1,2026-05-12 07:04:00+00:00,2026-05-12 07:26:00+00:00,0.215,0.165,22,True
Makine 2,2026-05-14 08:02:00+00:00,2026-05-14 08:17:00+00:00,0.215,0.144,16,False
Makine 5,2026-04-09 07:35:00+00:00,2026-04-09 07:42:00+00:00,0.214,0.184,8,False
Makine 1,2026-05-14 09:59:00+00:00,2026-05-14 10:17:00+00:00,0.214,0.203,19,False
Makine 3,2026-04-27 10:01:00+00:00,2026-04-27 10:09:00+00:00,0.214,0.198,9,False
Makine 3,2026-03-24 06:35:00+00:00,2026-03-24 06:42:00+00:00,0.214,0.189,8,False
Makine 5,2026-04-27 11:02:00+00:00,2026-04-27 11:34:00+00:00,0.213,0.204,33,False
Makine 2,2026-05-07 04:57:00+00:00,2026-05-07 05:30:00+00:00,0.213,0.167,34,False
Makine 9,2026-02-20 05:12:00+00:00,2026-02-20 05:18:00+00:00,0.213,0.193,7,True
Makine 2,2026-03-17 11:17:00+00:00,2026-03-17 11:25:00+00:00,0.213,0.205,9,False
Makine 3,2026-03-17 10:22:00+00:00,2026-03-17 10:35:00+00:00,0.212,0.174,14,False
Makine 3,2026-04-07 05:11:00+00:00,2026-04-07 05:35:00+00:00,0.212,0.189,25,True
Makine 2,2026-05-05 08:19:00+00:00,2026-05-05 08:28:00+00:00,0.212,0.177,10,True
Makine 9,2026-02-09 04:58:00+00:00,2026-02-09 05:04:00+00:00,0.212,0.198,7,False
Makine 2,2026-03-04 05:25:00+00:00,2026-03-04 06:14:00+00:00,0.212,0.153,49,False
Makine 1,2026-03-18 05:14:00+00:00,2026-03-18 05:29:00+00:00,0.212,0.182,16,False
Makine 5,2026-03-31 04:40:00+00:00,2026-03-31 04:43:00+00:00,0.212,0.204,4,True
Makine 3,2026-04-29 05:23:00+00:00,2026-04-29 05:37:00+00:00,0.211,0.181,15,False
Makine 2,2026-05-14 12:35:00+00:00,2026-05-14 12:58:00+00:00,0.211,0.181,24,False
Makine 3,2026-05-12 06:56:00+00:00,2026-05-12 06:58:00+00:00,0.211,0.208,3,False
Makine 2,2026-04-29 11:51:00+00:00,2026-04-29 12:03:00+00:00,0.211,0.175,13,True
Makine 5,2026-04-28 05:12:00+00:00,2026-04-28 05:34:00+00:00,0.21,0.142,23,True
Makine 5,2026-05-06 08:26:00+00:00,2026-05-06 09:10:00+00:00,0.21,0.188,45,True
Makine 3,2026-03-11 10:06:00+00:00,2026-03-11 10:15:00+00:00,0.21,0.18,10,False
Makine 2,2026-05-11 07:17:00+00:00,2026-05-11 07:36:00+00:00,0.21,0.139,20,False
Makine 2,2026-05-05 10:09:00+00:00,2026-05-05 10:42:00+00:00,0.21,0.158,34,True
Makine 5,2026-05-06 06:25:00+00:00,2026-05-06 07:11:00+00:00,0.21,0.169,47,False
Makine 1,2026-03-13 05:06:00+00:00,2026-03-13 05:13:00+00:00,0.21,0.196,8,False
Makine 5,2026-03-26 07:13:00+00:00,2026-03-26 07:29:00+00:00,0.209,0.178,14,False
Makine 2,2026-04-02 10:27:00+00:00,2026-04-02 11:18:00+00:00,0.209,0.163,52,True
Makine 2,2026-04-02 12:44:00+00:00,2026-04-02 12:59:00+00:00,0.209,0.189,16,True
Makine 1,2026-03-27 10:50:00+00:00,2026-03-27 11:14:00+00:00,0.208,0.197,25,False
Makine 3,2026-05-04 08:22:00+00:00,2026-05-04 08:42:00+00:00,0.208,0.152,21,False
Makine 9,2026-04-01 05:01:00+00:00,2026-04-01 05:34:00+00:00,0.208,0.177,34,False
Makine 2,2026-04-27 13:01:00+00:00,2026-04-27 13:36:00+00:00,0.207,0.166,36,False
Makine 5,2026-04-27 10:05:00+00:00,2026-04-27 10:39:00+00:00,0.207,0.159,35,False
Makine 1,2026-03-18 07:44:00+00:00,2026-03-18 07:47:00+00:00,0.207,0.2,4,False
Makine 1,2026-03-10 08:36:00+00:00,2026-03-10 08:40:00+00:00,0.207,0.187,5,False
Makine 5,2026-05-04 05:14:00+00:00,2026-05-04 05:18:00+00:00,0.207,0.194,5,True
Makine 2,2026-03-16 05:00:00+00:00,2026-03-16 05:24:00+00:00,0.207,0.149,25,False
Makine 3,2026-04-30 06:03:00+00:00,2026-04-30 06:10:00+00:00,0.206,0.181,8,False
Makine 3,2026-05-08 11:40:00+00:00,2026-05-08 11:58:00+00:00,0.206,0.181,19,False
Makine 5,2026-03-30 11:01:00+00:00,2026-03-30 11:33:00+00:00,0.206,0.153,33,True
Makine 5,2026-04-09 13:08:00+00:00,2026-04-09 13:25:00+00:00,0.206,0.194,18,True
Makine 1,2026-05-12 08:08:00+00:00,2026-05-12 08:16:00+00:00,0.206,0.201,9,False
Makine 9,2026-04-14 06:04:00+00:00,2026-04-14 06:09:00+00:00,0.206,0.203,6,True
Makine 5,2026-03-25 04:41:00+00:00,2026-03-25 04:49:00+00:00,0.205,0.195,9,False
Makine 1,2026-05-04 12:00:00+00:00,2026-05-04 12:04:00+00:00,0.205,0.193,5,False
Makine 1,2026-04-08 08:22:00+00:00,2026-04-08 08:30:00+00:00,0.205,0.194,9,False
Makine 9,2026-04-30 05:02:00+00:00,2026-04-30 05:12:00+00:00,0.205,0.193,11,False
Makine 5,2026-04-14 11:54:00+00:00,2026-04-14 11:59:00+00:00,0.205,0.204,6,True
Makine 5,2026-05-21 12:03:00+00:00,2026-05-21 12:09:00+00:00,0.205,0.184,7,False
Makine 5,2026-05-04 05:45:00+00:00,2026-05-04 06:06:00+00:00,0.205,0.187,22,True
Makine 9,2026-02-03 05:26:00+00:00,2026-02-03 05:29:00+00:00,0.205,0.202,4,False
Makine 3,2026-04-30 11:53:00+00:00,2026-04-30 11:58:00+00:00,0.204,0.196,6,False
Makine 3,2026-04-17 04:53:00+00:00,2026-04-17 05:09:00+00:00,0.204,0.18,17,False
Makine 1,2026-03-04 13:00:00+00:00,2026-03-04 13:20:00+00:00,0.204,0.2,21,True
Makine 5,2026-03-31 05:37:00+00:00,2026-03-31 06:05:00+00:00,0.204,0.148,29,True
Makine 1,2026-03-05 13:08:00+00:00,2026-03-05 13:15:00+00:00,0.203,0.183,8,True
Makine 2,2026-05-14 11:56:00+00:00,2026-05-14 12:12:00+00:00,0.203,0.192,17,False
Makine 9,2026-05-04 12:18:00+00:00,2026-05-04 12:31:00+00:00,0.203,0.189,14,False
Makine 1,2026-04-27 06:02:00+00:00,2026-04-27 06:59:00+00:00,0.202,0.185,58,True
Makine 3,2026-04-30 08:36:00+00:00,2026-04-30 08:42:00+00:00,0.202,0.187,7,True
Makine 3,2026-05-21 10:05:00+00:00,2026-05-21 10:10:00+00:00,0.202,0.181,6,False
Makine 5,2026-03-18 09:20:00+00:00,2026-03-18 09:24:00+00:00,0.202,0.174,5,False
Makine 5,2026-03-26 10:03:00+00:00,2026-03-26 11:04:00+00:00,0.202,0.141,62,False
Makine 1,2026-04-07 13:00:00+00:00,2026-04-07 13:02:00+00:00,0.202,0.192,3,False
Makine 2,2026-05-14 06:45:00+00:00,2026-05-14 07:13:00+00:00,0.202,0.157,29,False
Makine 3,2026-05-08 09:06:00+00:00,2026-05-08 09:20:00+00:00,0.201,0.186,15,False
Makine 5,2026-04-14 11:08:00+00:00,2026-04-14 11:24:00+00:00,0.201,0.182,17,True
Makine 1,2026-04-27 05:03:00+00:00,2026-04-27 05:16:00+00:00,0.201,0.19,14,False
Makine 5,2026-04-22 06:42:00+00:00,2026-04-22 06:52:00+00:00,0.201,0.19,11,False
Makine 3,2026-05-05 06:56:00+00:00,2026-05-05 07:04:00+00:00,0.201,0.188,9,False
Makine 1,2026-03-26 10:17:00+00:00,2026-03-26 10:57:00+00:00,0.2,0.172,41,False
Makine 3,2026-03-25 04:40:00+00:00,2026-03-25 04:49:00+00:00,0.2,0.198,10,False
Makine 5,2026-04-17 11:01:00+00:00,2026-04-17 11:09:00+00:00,0.2,0.198,9,False
Makine 9,2026-04-17 06:39:00+00:00,2026-04-17 06:59:00+00:00,0.2,0.179,21,True
Makine 3,2026-05-08 08:01:00+00:00,2026-05-08 08:28:00+00:00,0.2,0.157,28,False
Makine 2,2026-03-26 08:32:00+00:00,2026-03-26 09:04:00+00:00,0.2,0.182,33,False
Makine 9,2026-04-16 05:02:00+00:00,2026-04-16 05:11:00+00:00,0.2,0.184,10,True
Makine 1,2026-05-04 07:12:00+00:00,2026-05-04 07:24:00+00:00,0.2,0.183,13,False
Makine 2,2026-04-29 09:16:00+00:00,2026-04-29 09:38:00+00:00,0.199,0.178,23,False
Makine 2,2026-03-03 12:36:00+00:00,2026-03-03 12:56:00+00:00,0.199,0.162,21,False
Makine 2,2026-04-21 13:08:00+00:00,2026-04-21 13:12:00+00:00,0.199,0.195,5,True
Makine 3,2026-03-30 05:01:00+00:00,2026-03-30 05:09:00+00:00,0.199,0.185,9,False
Makine 3,2026-04-15 11:18:00+00:00,2026-04-15 11:24:00+00:00,0.198,0.173,7,True
Makine 1,2026-03-30 06:26:00+00:00,2026-03-30 06:43:00+00:00,0.198,0.184,18,False
Makine 1,2026-03-25 10:40:00+00:00,2026-03-25 10:48:00+00:00,0.198,0.189,9,False
Makine 1,2026-03-09 06:20:00+00:00,2026-03-09 06:41:00+00:00,0.198,0.163,22,False
Makine 2,2026-03-24 10:00:00+00:00,2026-03-24 10:34:00+00:00,0.198,0.156,35,False
Makine 3,2026-03-27 10:35:00+00:00,2026-03-27 11:05:00+00:00,0.198,0.195,31,False
Makine 2,2026-05-12 05:48:00+00:00,2026-05-12 05:50:00+00:00,0.198,0.198,3,False
Makine 5,2026-03-30 05:25:00+00:00,2026-03-30 05:42:00+00:00,0.197,0.17,18,False
Makine 3,2026-05-20 12:14:00+00:00,2026-05-20 12:19:00+00:00,0.197,0.193,6,False
Makine 2,2026-05-12 07:08:00+00:00,2026-05-12 07:19:00+00:00,0.196,0.161,12,False
Makine 2,2026-03-02 10:43:00+00:00,2026-03-02 11:08:00+00:00,0.196,0.173,26,False
Makine 3,2026-03-24 07:57:00+00:00,2026-03-24 08:07:00+00:00,0.196,0.174,11,False
Makine 3,2026-03-27 04:53:00+00:00,2026-03-27 05:08:00+00:00,0.196,0.182,16,False
Makine 9,2026-03-09 09:40:00+00:00,2026-03-09 10:06:00+00:00,0.196,0.191,27,False
Makine 9,2026-02-17 05:27:00+00:00,2026-02-17 05:29:00+00:00,0.196,0.187,3,False
Makine 2,2026-03-12 12:23:00+00:00,2026-03-12 12:32:00+00:00,0.195,0.185,10,False
Makine 5,2026-03-31 05:05:00+00:00,2026-03-31 05:15:00+00:00,0.195,0.158,11,True
Makine 3,2026-05-22 13:00:00+00:00,2026-05-22 13:05:00+00:00,0.195,0.181,6,False
Makine 9,2026-03-03 13:01:00+00:00,2026-03-03 13:25:00+00:00,0.195,0.16,25,True
Makine 5,2026-03-30 10:26:00+00:00,2026-03-30 10:38:00+00:00,0.194,0.164,13,False
Makine 2,2026-03-12 05:04:00+00:00,2026-03-12 05:16:00+00:00,0.194,0.181,13,False
Makine 2,2026-03-26 11:40:00+00:00,2026-03-26 12:05:00+00:00,0.194,0.162,26,False
Makine 5,2026-05-11 05:51:00+00:00,2026-05-11 05:56:00+00:00,0.194,0.19,6,False
Makine 1,2026-03-24 10:13:00+00:00,2026-03-24 10:28:00+00:00,0.194,0.138,16,False
Makine 5,2026-03-27 08:33:00+00:00,2026-03-27 08:52:00+00:00,0.194,0.161,20,False
Makine 2,2026-03-17 12:00:00+00:00,2026-03-17 12:19:00+00:00,0.193,0.178,20,False
Makine 3,2026-04-07 06:39:00+00:00,2026-04-07 06:46:00+00:00,0.193,0.152,8,False
Makine 2,2026-04-13 10:40:00+00:00,2026-04-13 11:04:00+00:00,0.193,0.152,25,False
Makine 5,2026-04-08 04:56:00+00:00,2026-04-08 04:59:00+00:00,0.193,0.192,4,True
Makine 5,2026-04-01 13:00:00+00:00,2026-04-01 13:07:00+00:00,0.193,0.191,8,False
Makine 3,2026-05-13 13:00:00+00:00,2026-05-13 13:19:00+00:00,0.192,0.182,20,False
Makine 5,2026-04-30 05:41:00+00:00,2026-04-30 06:08:00+00:00,0.192,0.185,28,False
Makine 9,2026-05-05 07:30:00+00:00,2026-05-05 07:34:00+00:00,0.192,0.187,5,False
Makine 1,2026-03-09 13:00:00+00:00,2026-03-09 13:26:00+00:00,0.192,0.189,27,True
Makine 1,2026-03-23 07:02:00+00:00,2026-03-23 07:04:00+00:00,0.192,0.192,3,False
Makine 9,2026-03-09 13:00:00+00:00,2026-03-09 13:26:00+00:00,0.191,0.185,27,False
Makine 5,2026-03-18 08:32:00+00:00,2026-03-18 08:35:00+00:00,0.191,0.182,4,False
Makine 1,2026-04-06 09:06:00+00:00,2026-04-06 09:15:00+00:00,0.191,0.181,10,False
Makine 3,2026-04-22 05:05:00+00:00,2026-04-22 05:20:00+00:00,0.191,0.184,16,True
Makine 5,2026-04-28 05:57:00+00:00,2026-04-28 06:00:00+00:00,0.191,0.189,4,True
Makine 3,2026-05-04 10:07:00+00:00,2026-05-04 10:13:00+00:00,0.19,0.185,7,False
Makine 2,2026-05-08 13:13:00+00:00,2026-05-08 13:20:00+00:00,0.19,0.15,8,False
Makine 2,2026-05-04 11:04:00+00:00,2026-05-04 11:07:00+00:00,0.19,0.165,4,False
Makine 9,2026-04-28 05:03:00+00:00,2026-04-28 05:09:00+00:00,0.19,0.182,7,True
Makine 2,2026-04-15 08:07:00+00:00,2026-04-15 08:09:00+00:00,0.19,0.19,3,False
Makine 9,2026-04-28 07:52:00+00:00,2026-04-28 08:00:00+00:00,0.19,0.18,9,False
Makine 2,2026-04-28 09:08:00+00:00,2026-04-28 09:20:00+00:00,0.189,0.153,13,False
Makine 3,2026-05-05 05:30:00+00:00,2026-05-05 05:33:00+00:00,0.189,0.189,4,False
Makine 2,2026-03-09 11:05:00+00:00,2026-03-09 11:07:00+00:00,0.189,0.189,3,False
Makine 3,2026-03-12 05:02:00+00:00,2026-03-12 05:07:00+00:00,0.188,0.176,6,True
Makine 2,2026-04-16 11:13:00+00:00,2026-04-16 11:20:00+00:00,0.188,0.163,8,False
Makine 5,2026-04-06 08:16:00+00:00,2026-04-06 08:22:00+00:00,0.188,0.175,7,False
Makine 2,2026-03-26 13:00:00+00:00,2026-03-26 13:02:00+00:00,0.187,0.187,3,False
Makine 2,2026-03-05 06:31:00+00:00,2026-03-05 06:33:00+00:00,0.187,0.185,3,False
Makine 3,2026-03-06 13:00:00+00:00,2026-03-06 13:22:00+00:00,0.187,0.182,23,False
Makine 9,2026-04-01 05:58:00+00:00,2026-04-01 06:08:00+00:00,0.187,0.181,11,False
Makine 3,2026-04-14 05:08:00+00:00,2026-04-14 05:12:00+00:00,0.186,0.174,5,False
Makine 3,2026-03-11 12:12:00+00:00,2026-03-11 12:24:00+00:00,0.186,0.175,13,False
Makine 5,2026-03-11 05:54:00+00:00,2026-03-11 05:58:00+00:00,0.186,0.183,5,False
Makine 9,2026-03-31 12:38:00+00:00,2026-03-31 12:45:00+00:00,0.186,0.148,8,False
Makine 1,2026-04-07 05:15:00+00:00,2026-04-07 05:34:00+00:00,0.186,0.186,20,False
Makine 1,2026-04-22 05:47:00+00:00,2026-04-22 05:51:00+00:00,0.186,0.184,5,False
Makine 3,2026-03-13 06:04:00+00:00,2026-03-13 06:40:00+00:00,0.185,0.159,37,False
Makine 2,2026-05-14 05:53:00+00:00,2026-05-14 06:17:00+00:00,0.185,0.157,25,False
Makine 9,2026-05-04 07:00:00+00:00,2026-05-04 07:03:00+00:00,0.184,0.183,4,False
Makine 1,2026-03-26 06:44:00+00:00,2026-03-26 06:46:00+00:00,0.184,0.184,3,False
Makine 3,2026-03-18 13:07:00+00:00,2026-03-18 13:09:00+00:00,0.184,0.182,3,False
Makine 3,2026-05-08 06:55:00+00:00,2026-05-08 06:57:00+00:00,0.184,0.182,3,False
Makine 1,2026-05-22 04:53:00+00:00,2026-05-22 04:56:00+00:00,0.183,0.181,4,False
Makine 1,2026-04-08 10:18:00+00:00,2026-04-08 10:24:00+00:00,0.183,0.179,7,False
Makine 3,2026-04-08 06:44:00+00:00,2026-04-08 06:49:00+00:00,0.182,0.181,6,False
Makine 3,2026-03-24 10:52:00+00:00,2026-03-24 11:04:00+00:00,0.181,0.156,13,True
Makine 5,2026-03-30 04:48:00+00:00,2026-03-30 04:51:00+00:00,0.181,0.179,4,False
Makine 5,2026-03-25 11:00:00+00:00,2026-03-25 11:13:00+00:00,0.18,0.18,14,False
Makine 1,2026-03-13 13:12:00+00:00,2026-03-13 13:23:00+00:00,0.179,0.176,12,True
Makine 1,2026-03-05 12:20:00+00:00,2026-03-05 12:27:00+00:00,0.179,0.175,8,True
Makine 1,2026-05-08 10:41:00+00:00,2026-05-08 10:53:00+00:00,0.178,0.178,13,True
